taxid	rank
family	31374
family	31377
family	31386
family	31396
family	31412
family	31415
family	31424
family	31427
family	31430
family	31441
family	31450
family	31453
family	31459
family	31462
family	31465
family	31469
family	31478
family	31484
family	31492
family	31497
family	31498
family	31501
family	31953
family	31957
family	31977
family	31979
family	31984
family	31989
family	31993
family	32004
family	32011
family	32033
family	32084
family	32106
family	32123
family	32128
family	32137
family	32141
family	32144
family	32151
family	32159
family	32186
family	32203
family	32261
family	32262
family	32265
family	32401
family	32406
family	32409
family	32414
family	32417
family	32422
family	32434
family	32594
family	33084
family	33093
family	33105
family	33159
family	33184
family	33253
family	33259
family	33264
family	33266
family	33269
family	33275
family	33278
family	33312
family	33320
family	33328
family	33336
family	33362
family	33383
family	33384
family	33388
family	33406
family	33415
family	33464
family	33473
family	33476
family	33479
family	33484
family	33491
family	33494
family	33499
family	33574
family	33579
family	33582
family	33596
family	33599
family	33636
family	33660
family	33674
family	33677
family	33678
family	33686
family	33823
family	33834
family	33839
family	33842
family	33845
family	33848
family	33852
family	33856
family	33925
family	33958
family	34064
family	34353
family	34365
family	34366
family	34368
family	34371
family	34374
family	34378
family	34379
family	34384
family	34397
family	34418
family	34421
family	34426
family	34427
family	34450
family	34479
family	34481
family	34486
family	34489
family	34502
family	34518
family	34531
family	34539
family	34554
family	34557
family	34560
family	34565
family	34571
family	34585
family	34636
family	34639
family	34643
family	34652
family	34667
family	34672
family	34680
family	34683
family	34687
family	34746
family	34753
family	34756
family	34759
family	34907
family	34912
family	34977
family	34978
family	34984
family	35054
family	35059
family	35061
family	35065
family	35072
family	35078
family	35082
family	35088
family	35095
family	35098
family	35102
family	35105
family	35111
family	35115
family	35120
family	35123
family	35132
family	35164
family	35193
family	35196
family	35215
family	35218
family	35232
family	35424
family	35428
family	35429
family	35431
family	35432
family	35433
family	35434
family	35435
family	35436
family	35439
family	35440
family	35445
family	35455
family	35458
family	35459
family	35461
family	35466
family	35472
family	35478
family	35479
family	35481
family	35484
family	35495
family	35549
family	35584
family	35587
family	35635
family	35718
family	35726
family	36081
family	36108
family	36113
family	36116
family	36119
family	36122
family	36125
family	36128
family	36131
family	36138
family	36141
family	36152
family	36155
family	36158
family	36161
family	36164
family	36203
family	36206
family	36256
family	36270
family	36291
family	36294
family	36297
family	36319
family	36322
family	36325
family	36657
family	36661
family	36666
family	36668
family	36734
family	36735
family	36751
family	36752
family	36753
family	36760
family	36763
family	36768
family	36939
family	36982
family	36985
family	36998
family	37067
family	37076
family	37240
family	37243
family	37350
family	37358
family	37386
family	37393
family	37845
family	37848
family	37850
family	37859
family	37865
family	37883
family	37889
family	37891
family	37892
family	37894
family	37895
family	37897
family	37899
family	37952
family	37990
family	38009
family	37397
family	38010
family	38011
family	37404
family	38096
family	37408
family	37411
family	37418
family	37421
family	37434
family	37466
family	37506
family	37509
family	37511
family	37513
family	37517
family	37522
family	37526
family	37532
family	37796
family	37806
family	37810
family	37822
family	37536
family	37539
family	37543
family	38099
family	38102
family	38106
family	37566
family	38115
family	37571
family	37576
family	38124
family	38128
family	38132
family	38137
family	37611
